Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0603_HandSoldering,80.550000,-98.485000,0.000000,top
Q1,S9013,SOT-23,80.000000,-86.300000,270.0,top
Q2,S9013,SOT-23,85.300000,-86.300000,270.0,top
Q3,S9013,SOT-23,90.600000,-86.300000,270.0,top
Q4,S9015,SOT-23,95.900000,-86.300000,270.0,top
R1,10K,R_0805_HandSoldering,87.350000,-89.700000,0.000000,top
R3,1K,R_0805_HandSoldering,94.500000,-94.000000,0.000000,top
R5,1K,R_0805_HandSoldering,86.100000,-98.500000,0.000000,top
R7,10K,R_0805_HandSoldering,80.200000,-89.700000,0.000000,top
R8,10K,R_0805_HandSoldering,80.500000,-94.000000,0.000000,top
R9,1K,R_0805_HandSoldering,87.500000,-94.000000,0.000000,top
R10,10K,R_0805_HandSoldering,94.500000,-89.900000,0.000000,top
